reviewId,userName,score,at,content,thumbsUpCount
4a034456-c524-4101-8904-1b1b18070065,Rifqi setiansyah,1,2026-03-11 14:34:09,"gabisa refund langsung di apk, sedangkan langsung datang ke tempatnya ada kendala padam listrik lama sekali posisi tempat (st.pasar senin) tgl 11.03.2026 jam 14.25",0
01be0473-d1f9-4485-9753-9aef40acccdb,Surya Perdana,5,2026-03-11 13:23:45,mantab n cepat,0
5fd53170-9d06-444b-bb42-cf6a0493a27d,yudis tira,1,2026-03-11 13:04:22,"aplikasi gak guna, liat ketersedian tiket eror2 terus gak muncul, sekelas perusahaan bumn yg gak punya saingan aja gak bisa bikin aplikasi yang bener2 worth it.",0
9534e81e-d94d-42d8-b150-89dad2282acd,rosa iliyah,5,2026-03-11 12:53:59,oke,0
1787757e-10e2-489b-848c-a4db958fcaef,guitaronly,1,2026-03-11 12:35:38,makin ribet banyak error'nya padahal sinyal sudah sangat bagus,0
81b7febe-b50d-47bf-9741-cbc24eea6630,Assyifa syifa,5,2026-03-11 12:26:59,good,0
aa805dbe-cbe6-426b-8b5e-a1bc4e205480,Rayhan Ashter,1,2026-03-11 12:14:04,"pengenaan antrian tidak logis, sering sekali apk eror dan tiket yang tersedia tiba² tidak bisa di beli. ini sangat merugikan konsumen. kedepan nya mohon di perbaiki kepastian ketersediaan tiket dan sistem aplikasi nya agar tidak sering eror.",1
04b60615-eca4-4c35-be0d-f285c1e98527,Rahman Dika Putra,3,2026-03-11 11:59:35,bagus tapi selalu eror ga bisa pesen tiketny,0
c11d8fff-76d5-43cd-9024-968f30d90d0c,Sisri Wahyuni,2,2026-03-11 11:54:16,sering eror trs bayar pakai e Wallet juga sering gak bisa,0
3548a91b-fcfa-42f2-88cf-09f6eb6e3597,zaki almalik,1,2026-03-11 11:23:16,belakangan ini aplikasinya sering eror tidak bisa membuka kereta lokal hanya loading saja,0
176d9dd1-a85a-4354-a367-40034bb23cce,Sahroni Roni,3,2026-03-11 11:06:38,"Aplikasi nya kebanyakan trouble!! Tolong diperbaiki dong masa iya trouble mulu dari dulu kaga pernah bener, Ada aja gangguan nya.",0
b049f9dc-18cf-4698-94cf-179e0f64208e,Fiqri Fatur Rahman,5,2026-03-11 11:02:33,bagus sekali mempermudah konsumen dan mudah digunakan,0
04d9fa90-ecbd-4d2e-a1ac-290b6baf5fdb,Roosevelet IV,1,2026-03-11 11:01:19,"aplikasi aneh telat bayar dikit malah jadi gabisa apa coba pas mau di batalin transaksi tidak ditemukan ,mau di transaksi malah gagal apa coba gini aja trus ga pernah bener kalo ada bintang 0 dikasih 0 nih aplikasi 👎👎👎👎",0
1b5f6b21-04c6-406c-a993-a5db793b2a16,Seinsey Jr,1,2026-03-11 10:57:08,"Aplikasi dengan pengoperasian yang lamban padahal jaringan kuota dan wifi kagak lemot, lah ini aplikasinya lemot sendiri darisananya",0
e0b8f645-5555-4b9b-9f7e-9c36e31132e5,Angga Murdani,5,2026-03-11 10:51:43,mantap,0
2043a91d-ad05-4994-a192-aa6aca466893,Fersy Kies,1,2026-03-11 10:51:41,"berat banget ui nya iklannya apalagi, mikirin lah setiap hp ada gen lama sama baru optimal gak, udah bayar eror lah inilah gak jelas lu",0
0a9a790d-3dcf-4aaa-9c9c-951aed35bfbb,Maulidany,2,2026-03-11 10:44:12,"BUG MULU, !!! gak bisa pesen tiket",0
f6e80f3f-7d41-4713-86dc-486c89b93931,Fauzan Khalil Ridwan,3,2026-03-11 10:29:10,"ini kenapa, jaringan saya bagus tapi pas liat pencarian jadwal muter nya lama banget, trus giliran udah masuk di metode pembayaran nya yang justru lebih lama? atasi dong KAI kenapa",1
3ff8ae4b-e719-444f-89a7-973684824c12,Kristin Kristin,3,2026-03-11 10:18:30,berat banget ui nya lag banget di HP gue,0
6b60e11c-0834-4928-85a2-48750f907405,Defirika Ramdani,5,2026-03-11 10:11:56,dengan online memudahkan pemesanan tiketnya,0
5393562a-d16a-4722-9e6b-0d54a0b791b5,Mila Restu,1,2026-03-11 09:40:58,"gk bisa di dowload lagi acces by kai nya, kata nya perangkat ku gk kompatibel versi terbaru trus gue harus beli ip gitu min biar bisa beli tiket kai",0
b040b9d5-8e05-4f84-a596-9684908e2ca6,Yunita Dwi Lestari,1,2026-03-11 09:07:27,"tolong dong pihak kai atur gimana baiknya, masa saya baru batalin tiket tp dicek HP satunya lagi selang beberapa detik udah zonk itu tiket yang tadi sy batalin, ke endap/ditahan dimana lagi tu tiket? masa iya kalah sama calo sdngkan calo tiket saja sistemnya ngewar sama aja dan satu lagi saya mau pesan tiket tp tiket tidak tersedia semua bahkan di klik tiket yg sudah habis pun tidak muncul?? kemarin adain war diskon tp gada tiket yang dijual parah sii makin kesini makin"" ni apk",0
21a937e6-bff0-47ac-9b24-020c9094844f,Firmansyah Hidayat,5,2026-03-11 08:55:36,"Access byk KAI, PROFESIONAL MANTAB LUAR BIASA. Pertahankan Pelayanan Terbaik",0
8856203e-1d4e-4122-a52c-f3d4b7b44938,Eka Febri Pratama_,2,2026-03-11 08:03:03,"Mau pesen tiket malah kena bug terus, muncul ""jadwal kereta tidak di temukan"" di semua tanggal jadi bingung mau gimana 😮‍💨",0
351ef367-013b-4171-a46b-44b06de695ca,Ai Fatimah,5,2026-03-11 05:28:15,lebih mudah booking tiket,0
2af80cbe-afaa-4811-a99d-6bfbac27a0cb,Aby Respaty,1,2026-03-11 05:13:04,lemot banget dech aplikasi nya,0
15c89748-0199-46e5-95ae-5e7cd06786e1,Dewi.lisnawati Wie,1,2026-03-11 04:56:00,kenapa saya tidak bisa mendownload aplikasi ini,0
adf48e49-d61b-4ff6-92ca-8009f97d3e2e,Gana M,5,2026-03-11 04:36:26,bagus,0
fe0cfb34-faab-4da7-8232-e32825d77b80,Akhji Mullah,1,2026-03-11 03:05:20,tolong developer masak mau update jadi member acses selalu stuck terus apk nya sampe panas hp udah diulang berapa kali tetep sama udah sampe kirim otp loh gitu terus ios padahal,0
aa4c0be5-7098-48e9-8100-ec6fa1809bc9,Yatnopeking Purworejo,1,2026-03-11 02:58:44,kenapa tahun 2026 Susah cari tiket selalu habis tiap tgl tiap hari habis,0
81a779dd-ddc6-4239-a7c2-1131079e814a,Ahmad aris syaefudin,2,2026-03-11 00:29:23,"aplikasi pemerintah, tapi kurang handal, seiring lag",0
